hh_type,a10,a11,a13,a14,a15,a23,a24,a25,a26,a27,a16_1_mm,a16_1_yy,a10_fq,a11_fq,a13_fq,a14_fq,a15_fq,a23_fq,a24_fq,a25_fq,a26_fq,a27_fq,hh_size,hh_size_dejure,n_male,n_female,n_age_0_4,n_age_5_14,n_age_15_59,n_age_60plus,dependency_ratio,n_literate_15plus,n_adults_15plus,adult_literacy_rate,max_edu_years,mean_edu_years_adults,n_attending_school,n_occ_agri_own,n_occ_agri_labour,n_occ_livestock_fish,n_occ_salaried,n_occ_trade,head_sex,head_age,head_relation,head_marital,head_literate,head_edu_code,head_edu_years,head_occupation,head_earning_source,n_in_school_module,n_ever_attended_school,n_attended_school_2018,school_fees_monthly_total,school_distance_km_mean,n_worked_7d,n_did_not_work_7d,days_worked_7d_total,hours_worked_7d_total,n_activities_7d,n_nonfarm_agri_activities,any_nonfarm_agri_work,ever_had_loan,has_current_loan,n_loans,loan_amount_total,loan_outstanding_total,loan_interest_rate_mean,n_plots,land_homestead_decimal,land_cultivable_decimal,land_fallow_decimal,plot_distance_m_mean,flood_depth_ft_mean,crop_revenue_reported_total,n_crop_records,area_planted_total,seed_cost_total,harvest_kg_total,n_irrigated_records,grows_aus,grows_aman,grows_boro,grows_any_rice,mealdays_male_u10_7d,mealdays_female_u10_7d,mealdays_male_10plus_7d,mealdays_female_10plus_7d,mealdays_total_7d,xxc_01,xxc_02,xxc_04,xxc_06,xxc_07,xxc_09,xxc_10,xxc_11,clim_aus_rain_total_mm,clim_aus_solar_rad_avg,clim_aus_wind_avg,clim_aus_evapotrans_avg,clim_aus_district_area_ha,clim_aus_district_production_mt,clim_aus_district_yield_ratio,clim_aman_rain_total_mm,clim_aman_solar_rad_avg,clim_aman_wind_avg,clim_aman_evapotrans_avg,clim_aman_district_area_ha,clim_aman_district_production_mt,clim_aman_district_yield_ratio,clim_boro_rain_total_mm,clim_boro_solar_rad_avg,clim_boro_wind_avg,clim_boro_evapotrans_avg,clim_boro_district_area_ha,clim_boro_district_production_mt,clim_boro_district_yield_ratio,income_per_capita_monthly,total_rice_harvest_kg,total_rice_area,crop_diversity,livelihood_diversity,flood_affected,hhid2,total_plot_seed_cost,mean_plot_seed_cost,total_plots_recorded,active_plots_count,mean_plot_temperature,max_plot_temperature,mean_plot_humidity,total_plot_rainfall,mean_plot_solar_rad,mean_district_yield_ratio
3.0,1.0,1.0,1.0,1.0,1.0,3.0,0.0,0.0,1.0,1.0,1.0,2019.0,2.0,1.0,1.0,1.0,1.0,3.0,0.0,0.0,1.0,1.0,3.0,3.0,2.0,1.0,0.0,0.0,2.0,1.0,0.5,1.0,3.0,0.3333333333333333,12.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,60.0,1.0,2.0,1.0,99.0,0.0,64.0,10.0,1.0,1.0,1.0,30.0,1.0,2.0,1.0,40.0,99.0,6.0,0.0,0,1.0,2.0,0.0,0.0,0.0,0.0,6.0,10.0,92.0,10.0,333.3333333333333,0.6666666666666666,2.0,2.0,72.0,6500.0,2200.0,2.0,0,0,1,1,0.0,0.0,38.0,14.0,52.0,1.0,18.0,9888.0,2014.0,2.0,9888.0,9.0,2.0,886.2900000000001,18.2581247311828,3.630623655913978,3.510221505376344,14355.0,16061.0,1.118843608,1571.6000000000004,16.37456129032258,2.8899913978494625,4.57770752688172,177321.0,150905.0,0.8510272331,222.83,15.69796712749616,2.459298771121351,2.8110319508448542,145439.0,268754.0,1.847881242,7281.333333333333,1800.0,55.0,2.0,1.0,1,,7490.0,1070.0,7,7,27.6,40.0,73.5,5144.06,17.335752258064513,2.14328291088
3.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,0.0,1.0,1.0,1.0,2019.0,2.0,1.0,1.0,1.0,1.0,4.0,1.0,0.0,1.0,1.0,4.0,4.0,3.0,1.0,0.0,1.0,3.0,0.0,0.3333333333333333,1.0,3.0,0.3333333333333333,14.0,6.333333333333333,2.0,1.0,0.0,0.0,0.0,0.0,1.0,54.0,1.0,2.0,1.0,99.0,0.0,65.0,5.0,2.0,2.0,2.0,0.0,8.0,2.0,2.0,20.0,45.0,5.0,0.0,0,1.0,1.0,2.0,148000.0,106500.0,15.0,2.0,10.0,116.0,10.0,750.0,1.5,1.0,1.0,62.0,3000.0,2400.0,0.0,0,0,1,1,0.0,0.0,21.0,7.0,28.0,1.0,18.0,9888.0,2006.0,2.0,9888.0,9.0,1.0,886.2900000000001,18.2581247311828,3.630623655913978,3.510221505376344,14355.0,16061.0,1.118843608,1571.6000000000004,16.37456129032258,2.8899913978494625,4.57770752688172,177321.0,150905.0,0.8510272331,222.83,15.69796712749616,2.459298771121351,2.8110319508448542,145439.0,268754.0,1.847881242,6437.5,2400.0,62.0,1.0,1.0,1,1,6500.0,3250.0,2,2,26.0,40.0,72.5,222.83,15.69796712749616,1.847881242
3.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,1.0,1.0,2019.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,1.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,8.0,5.5,0.0,0.0,0.0,0.0,0.0,1.0,1.0,52.0,1.0,2.0,4.0,8.0,8.0,52.0,12.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,14.0,28.0,2.0,0.0,0,1.0,1.0,2.0,27500.0,13950.0,15.0,5.0,3.0,78.0,5.0,336.6666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,7.0,7.0,14.0,1.0,18.0,5000.0,2013.0,2.0,9888.0,9.0,2.0,886.2900000000001,18.2581247311828,3.630623655913978,3.510221505376344,14355.0,16061.0,1.118843608,1571.6000000000004,16.37456129032258,2.8899913978494625,4.57770752688172,177321.0,150905.0,0.8510272331,222.83,15.69796712749616,2.459298771121351,2.8110319508448542,145439.0,268754.0,1.847881242,2525.0,0.0,0.0,0.0,1.0,0,10.1,6000.0,6000.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0
3.0,3.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,2019.0,4.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,2.0,1.0,0.0,2.0,0.0,0.5,0.0,2.0,0.0,9.0,6.5,0.0,0.0,1.0,0.0,0.0,0.0,1.0,27.0,1.0,2.0,4.0,4.0,4.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,20.0,62.0,3.0,0.0,0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,7.0,7.0,7.0,21.0,1.0,18.0,5000.0,2010.0,2.0,9888.0,9.0,1.0,886.2900000000001,18.2581247311828,3.630623655913978,3.510221505376344,14355.0,16061.0,1.118843608,1571.6000000000004,16.37456129032258,2.8899913978494625,4.57770752688172,177321.0,150905.0,0.8510272331,222.83,15.69796712749616,2.459298771121351,2.8110319508448542,145439.0,268754.0,1.847881242,3833.3333333333335,0.0,0.0,0.0,1.0,0,10.2,8000.0,8000.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0
3.0,2.0,2.0,2.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,2.0,2019.0,5.0,2.0,2.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,5.0,5.0,3.0,2.0,1.0,0.0,4.0,0.0,0.25,2.0,4.0,0.5,12.0,4.75,0.0,2.0,0.0,0.0,0.0,0.0,1.0,35.0,1.0,2.0,1.0,99.0,0.0,64.0,5.0,1.0,1.0,0.0,0.0,1.0,2.0,2.0,35.0,77.0,6.0,1.0,1,1.0,2.0,0.0,0.0,0.0,0.0,7.0,7.0,110.0,30.0,70.0,0.6,4.0,2.0,62.0,11500.0,1330.0,0.0,0,0,1,1,0.0,7.0,21.0,7.0,35.0,1.0,18.0,9888.0,2009.0,2.0,9888.0,9.0,2.0,886.2900000000001,18.2581247311828,3.630623655913978,3.510221505376344,14355.0,16061.0,1.118843608,1571.6000000000004,16.37456129032258,2.8899913978494625,4.57770752688172,177321.0,150905.0,0.8510272331,222.83,15.69796712749616,2.459298771121351,2.8110319508448542,145439.0,268754.0,1.847881242,2270.0,1000.0,37.0,2.0,1.0,1,100.1,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,0.0,1.0,1.0,1.0,2019.0,2.0,1.0,1.0,1.0,1.0,4.0,1.0,0.0,1.0,1.0,4.0,4.0,2.0,2.0,0.0,0.0,3.0,1.0,0.3333333333333333,0.0,4.0,0.0,14.0,11.75,2.0,0.0,0.0,1.0,0.0,0.0,1.0,60.0,1.0,2.0,4.0,14.0,14.0,68.0,5.0,2.0,2.0,2.0,0.0,40.0,1.0,3.0,21.0,42.0,6.0,0.0,0,1.0,1.0,1.0,10000.0,10000.0,0.0,9.0,15.0,495.0,15.0,546.6666666666666,1.2222222222222223,2.0,1.0,80.0,4500.0,2400.0,0.0,0,0,1,1,0.0,0.0,14.0,14.0,28.0,1.0,18.0,9888.0,2012.0,2.0,9888.0,9.0,2.0,886.2900000000001,18.2581247311828,3.630623655913978,3.510221505376344,14355.0,16061.0,1.118843608,1571.6000000000004,16.37456129032258,2.8899913978494625,4.57770752688172,177321.0,150905.0,0.8510272331,222.83,15.69796712749616,2.459298771121351,2.8110319508448542,145439.0,268754.0,1.847881242,9712.5,2400.0,80.0,1.0,1.0,1,1000,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,1.0,1.0,1.0,1.0,1.0,6.0,1.0,0.0,1.0,1.0,1.0,2019.0,2.0,1.0,1.0,1.0,1.0,6.0,1.0,0.0,1.0,1.0,6.0,6.0,5.0,1.0,0.0,3.0,3.0,0.0,1.0,0.0,3.0,0.0,7.0,3.6666666666666665,3.0,0.0,0.0,0.0,0.0,0.0,1.0,49.0,1.0,2.0,2.0,99.0,0.0,2.0,2.0,4.0,4.0,3.0,0.0,1.0,2.0,4.0,37.0,58.0,9.0,0.0,0,1.0,1.0,1.0,20000.0,8900.0,15.0,4.0,13.0,65.0,21.0,325.0,1.75,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,7.0,0.0,28.0,7.0,42.0,1.0,18.0,20000.0,2016.0,2.0,9888.0,9.0,2.0,886.2900000000001,18.2581247311828,3.630623655913978,3.510221505376344,14355.0,16061.0,1.118843608,1571.6000000000004,16.37456129032258,2.8899913978494625,4.57770752688172,177321.0,150905.0,0.8510272331,222.83,15.69796712749616,2.459298771121351,2.8110319508448542,145439.0,268754.0,1.847881242,2666.6666666666665,0.0,0.0,0.0,0.0,1,1001,1500.0,1500.0,1,1,26.0,40.0,72.5,89.15,16.6174064516129,1.784729934
3.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,2019.0,2.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,5.0,5.0,4.0,1.0,1.0,1.0,2.0,1.0,1.5,0.0,3.0,0.0,12.0,9.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,40.0,1.0,2.0,4.0,10.0,10.0,68.0,5.0,1.0,1.0,1.0,200.0,2.0,2.0,2.0,18.0,33.0,5.0,1.0,1,1.0,2.0,0.0,0.0,0.0,0.0,5.0,13.0,495.0,38.0,520.0,2.6,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,14.0,0.0,16.0,10.0,40.0,1.0,18.0,9888.0,9888.0,2.0,9888.0,9.0,2.0,886.2900000000001,18.2581247311828,3.630623655913978,3.510221505376344,14355.0,16061.0,1.118843608,1571.6000000000004,16.37456129032258,2.8899913978494625,4.57770752688172,177321.0,150905.0,0.8510272331,222.83,15.69796712749616,2.459298771121351,2.8110319508448542,145439.0,268754.0,1.847881242,6040.0,0.0,0.0,0.0,1.0,1,1002,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,0.0,1.0,1.0,2.0,2019.0,2.0,1.0,1.0,1.0,1.0,4.0,1.0,0.0,1.0,1.0,4.0,4.0,1.0,3.0,0.0,0.0,3.0,1.0,0.3333333333333333,1.0,4.0,0.25,12.0,7.75,1.0,0.0,0.0,1.0,0.0,0.0,1.0,67.0,1.0,2.0,4.0,10.0,10.0,68.0,9.0,1.0,1.0,1.0,0.0,0.5,2.0,2.0,16.0,16.0,4.0,0.0,0,1.0,1.0,1.0,650000.0,604656.0000000002,0.0,6.0,356.0,192.0,90.0,500.0,2.333333333333333,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,7.0,21.0,28.0,1.0,18.0,9888.0,2008.0,2.0,2016.0,8.0,2.0,886.2900000000001,18.2581247311828,3.630623655913978,3.510221505376344,14355.0,16061.0,1.118843608,1571.6000000000004,16.37456129032258,2.8899913978494625,4.57770752688172,177321.0,150905.0,0.8510272331,222.83,15.69796712749616,2.459298771121351,2.8110319508448542,145439.0,268754.0,1.847881242,2125.0,0.0,0.0,0.0,1.0,1,1003,1300.0,650.0,2,2,26.0,40.0,72.5,178.3,16.6174064516129,1.784729934
3.0,1.0,1.0,1.0,1.0,1.0,4.0,2.0,0.0,1.0,1.0,1.0,2019.0,2.0,1.0,1.0,1.0,1.0,4.0,2.0,0.0,1.0,1.0,4.0,4.0,2.0,2.0,0.0,1.0,3.0,0.0,0.3333333333333333,0.0,3.0,0.0,10.0,8.666666666666666,2.0,1.0,0.0,0.0,0.0,0.0,1.0,47.0,1.0,2.0,4.0,8.0,8.0,65.0,4.0,2.0,2.0,2.0,0.0,2.25,2.0,2.0,20.0,61.5,5.0,0.0,0,1.0,1.0,1.0,20000.0,11500.0,15.0,4.0,13.0,28.0,13.0,300.0,0.0,3.0,1.0,28.0,10000.0,860.0,1.0,0,0,0,0,0.0,0.0,14.0,14.0,28.0,1.0,18.0,9888.0,2011.0,2.0,2014.0,5.0,1.0,886.2900000000001,18.2581247311828,3.630623655913978,3.510221505376344,14355.0,16061.0,1.118843608,1571.6000000000004,16.37456129032258,2.8899913978494625,4.57770752688172,177321.0,150905.0,0.8510272331,222.83,15.69796712749616,2.459298771121351,2.8110319508448542,145439.0,268754.0,1.847881242,4050.0,0.0,0.0,1.0,1.0,0,1005,600.0,600.0,1,1,22.5,30.0,60.0,89.15,16.6174064516129,0.603515625
