left,right,column,n_compared,n_mismatched,max_abs_difference
raw,stage1_lvi,a10,5605,0,0.0
raw,stage1_lvi,a11,5605,0,0.0
raw,stage1_lvi,a13,5605,0,0.0
raw,stage1_lvi,a14,5605,0,0.0
raw,stage1_lvi,a15,5605,0,0.0
raw,stage1_lvi,a23,5605,0,0.0
raw,stage1_lvi,adult_literacy_rate,5605,0,0.0
raw,stage1_lvi,any_nonfarm_agri_work,5605,0,0.0
raw,stage1_lvi,clim_aman_evapotrans_avg,5605,0,0.0
raw,stage1_lvi,clim_aman_wind_avg,5605,0,0.0
raw,stage1_lvi,clim_aus_evapotrans_avg,5605,0,0.0
raw,stage1_lvi,clim_aus_wind_avg,5605,0,0.0
raw,stage1_lvi,clim_boro_evapotrans_avg,5605,0,0.0
raw,stage1_lvi,clim_boro_wind_avg,5605,0,0.0
raw,stage1_lvi,dependency_ratio,5605,0,0.0
raw,stage1_lvi,flood_affected,5605,0,0.0
raw,stage1_lvi,flood_depth_ft_mean,5605,0,0.0
raw,stage1_lvi,has_current_loan,5605,0,0.0
raw,stage1_lvi,hh_size,5605,0,0.0
raw,stage1_lvi,income_per_capita_monthly,5605,0,0.0
raw,stage1_lvi,land_cultivable_decimal,5605,0,0.0
raw,stage1_lvi,livelihood_diversity,5605,0,0.0
raw,stage1_lvi,mealdays_total_7d,5605,0,0.0
raw,stage1_lvi,mean_edu_years_adults,5605,0,0.0
raw,stage1_lvi,n_occ_agri_labour,5605,0,0.0
raw,stage1_lvi,n_occ_agri_own,5605,0,0.0
stage1_lvi,stage2_cluster,LVI,5605,0,0.0
stage1_lvi,stage2_cluster,a10,5605,0,0.0
stage1_lvi,stage2_cluster,a11,5605,0,0.0
stage1_lvi,stage2_cluster,a13,5605,0,0.0
stage1_lvi,stage2_cluster,a14,5605,0,0.0
stage1_lvi,stage2_cluster,a15,5605,0,0.0
stage1_lvi,stage2_cluster,a23,5605,0,0.0
stage1_lvi,stage2_cluster,adaptive_capacity_vulnerability_n_indicators,5605,0,0.0
stage1_lvi,stage2_cluster,adaptive_capacity_vulnerability_score,5605,0,0.0
stage1_lvi,stage2_cluster,adult_illiteracy_rate,5605,0,0.0
stage1_lvi,stage2_cluster,adult_illiteracy_rate_norm,5605,0,0.0
stage1_lvi,stage2_cluster,adult_literacy_rate,5605,0,0.0
stage1_lvi,stage2_cluster,agricultural_occupation_dependence,5605,0,0.0
stage1_lvi,stage2_cluster,agricultural_occupation_dependence_norm,5605,0,0.0
stage1_lvi,stage2_cluster,any_nonfarm_agri_work,5605,0,0.0
stage1_lvi,stage2_cluster,any_nonfarm_agri_work_norm,5605,0,0.0
stage1_lvi,stage2_cluster,clim_aman_evapotrans_avg,5605,0,0.0
stage1_lvi,stage2_cluster,clim_aman_wind_avg,5605,0,0.0
stage1_lvi,stage2_cluster,clim_aus_evapotrans_avg,5605,0,0.0
stage1_lvi,stage2_cluster,clim_aus_wind_avg,5605,0,0.0
stage1_lvi,stage2_cluster,clim_boro_evapotrans_avg,5605,0,0.0
stage1_lvi,stage2_cluster,clim_boro_wind_avg,5605,0,0.0
stage1_lvi,stage2_cluster,dependency_ratio,5605,0,0.0
stage1_lvi,stage2_cluster,dependency_ratio_norm,5605,0,0.0
stage1_lvi,stage2_cluster,exposure_n_indicators,5605,0,0.0
stage1_lvi,stage2_cluster,exposure_score,5605,0,0.0
stage1_lvi,stage2_cluster,flood_affected,5605,0,0.0
stage1_lvi,stage2_cluster,flood_affected_norm,5605,0,0.0
stage1_lvi,stage2_cluster,flood_depth_ft_mean,5605,0,0.0
stage1_lvi,stage2_cluster,flood_depth_ft_mean_norm,5605,0,0.0
stage1_lvi,stage2_cluster,has_current_loan,5605,0,0.0
stage1_lvi,stage2_cluster,has_current_loan_binary,5605,0,0.0
stage1_lvi,stage2_cluster,has_current_loan_binary_norm,5605,0,0.0
stage1_lvi,stage2_cluster,hh_size,5605,0,0.0
stage1_lvi,stage2_cluster,hh_size_norm,5605,0,0.0
stage1_lvi,stage2_cluster,income_per_capita_monthly,5605,0,0.0
stage1_lvi,stage2_cluster,income_per_capita_monthly_norm,5605,0,0.0
stage1_lvi,stage2_cluster,land_cultivable_decimal,5605,0,0.0
stage1_lvi,stage2_cluster,land_cultivable_decimal_norm,5605,0,0.0
stage1_lvi,stage2_cluster,livelihood_diversity,5605,0,0.0
stage1_lvi,stage2_cluster,livelihood_diversity_norm,5605,0,0.0
stage1_lvi,stage2_cluster,mealdays_total_7d,5605,0,0.0
stage1_lvi,stage2_cluster,meals_per_person_week,5605,0,0.0
stage1_lvi,stage2_cluster,meals_per_person_week_norm,5605,0,0.0
stage1_lvi,stage2_cluster,mean_edu_years_adults,5605,0,0.0
stage1_lvi,stage2_cluster,mean_edu_years_adults_norm,5605,0,0.0
stage1_lvi,stage2_cluster,n_occ_agri_labour,5605,0,0.0
stage1_lvi,stage2_cluster,n_occ_agri_own,5605,0,0.0
stage1_lvi,stage2_cluster,seasonal_evapotranspiration_avg,5605,0,0.0
stage1_lvi,stage2_cluster,seasonal_evapotranspiration_avg_norm,5605,0,0.0
stage1_lvi,stage2_cluster,seasonal_wind_avg,5605,0,4.440892098500626e-16
stage1_lvi,stage2_cluster,seasonal_wind_avg_norm,5605,0,0.0
stage1_lvi,stage2_cluster,sensitivity_n_indicators,5605,0,0.0
stage1_lvi,stage2_cluster,sensitivity_score,5605,0,0.0
